Customer_ID,Product_ID,Zipcode,Trip_ID,Start_Station,End_Station,Duration,Trip_Cost
12782,2,96815,208730,42,42,0:14:27,0
30323,3,96822,208731,67,4,0:10:57,NULL
19733,1,96825,208732,5,75,0:18:45,0
32556,5,3082,208733,31,30,1:04:43,NULL
18343,6,96816,208734,5,75,0:18:04,NULL
31007,3,96734,208735,5,75,0:17:23,NULL
24280,2,96815,208736,25,16,0:04:37,0
26617,5,96815,208737,45,17,0:03:32,NULL
21743,2,96826,208738,15,46,0:08:25,0
21738,2,96826,208739,15,46,0:08:31,0
31901,4,96817,208740,74,68,0:16:42,0
32588,4,234,208741,31,30,0:56:15,3.5
5494,3,96822,208742,74,36,0:12:31,NULL
30321,5,96813,208743,8,80,0:21:43,NULL
2843,3,96814,208744,8,80,0:22:30,3.5
28316,3,96814,208745,8,80,0:20:52,NULL
15866,3,96826,208746,74,37,0:11:21,NULL
31632,2,91031,208747,16,16,0:21:45,0
11211,2,96815,208748,50,42,0:07:57,0
4618,2,96814,208749,4,59,0:08:17,0
10366,6,96815,208750,30,17,0:05:40,NULL
2885,1,96816,208751,42,58,0:08:32,0
32981,5,96826,208752,33,33,0:00:26,NULL
24280,2,96815,208753,16,76,0:13:53,0
32981,5,96826,208754,33,41,0:10:27,NULL
29492,5,96816,208755,33,41,0:10:07,NULL
15063,5,96786,208756,80,81,0:02:37,NULL
3089,6,96734,208757,39,7,0:18:54,NULL
27280,1,96815,208758,76,17,0:07:49,0
26067,2,96814,208759,66,63,0:04:04,0
31020,2,96813,208760,66,63,0:04:02,0
29495,5,96744,208761,15,12,0:11:57,NULL
32985,4,96748,208762,48,48,1:12:15,7
32985,4,96748,208763,48,48,1:11:27,7
32986,4,,208764,48,48,1:11:32,7
32986,4,,208765,48,48,1:11:57,7
15300,5,96813,208767,71,68,0:04:09,NULL
32986,4,,208766,48,48,1:11:12,7
32986,4,,208768,48,48,1:10:52,7
32985,4,96748,208769,48,48,1:10:47,7
32985,4,96748,208770,48,48,1:11:03,7
32987,4,96757,208771,48,48,1:09:13,7
19307,3,96817,208772,63,69,0:06:46,NULL
19310,3,96814,208773,63,74,0:09:35,NULL
20275,3,96707,208774,15,31,0:27:47,NULL
32967,3,96815,208775,78,18,0:08:40,NULL
30993,3,,208776,31,13,0:08:38,NULL
32988,4,94089,208777,23,23,0:18:29,0
30950,5,28376,208778,15,42,0:07:42,NULL
32989,4,96706,208779,97,97,0:03:48,0
32989,4,96706,208780,97,97,0:10:49,0
32990,4,,208781,23,23,0:15:24,0
28889,4,96706,208782,23,23,0:54:49,3.5
28889,4,96706,208783,23,23,0:54:47,3.5
28889,4,96706,208784,23,23,0:54:20,3.5
28,2,96816,208785,25,13,0:05:11,0
32976,4,96744,208786,71,87,0:09:42,0
1631,5,96701,208787,71,87,0:09:32,NULL
